iter	Passed	Remaining
633	23933	13816
634	23984	13786
635	24023	13749
636	24067	13715
637	24102	13675
638	24142	13639
639	24177	13599
640	24211	13559
641	24253	13524
642	24290	13486
643	24325	13447
644	24365	13410
645	24398	13370
646	24434	13331
647	24469	13291
648	24500	13250
649	24535	13211
650	24570	13172
651	24613	13137
652	24651	13099
653	24689	13062
654	24725	13023
655	24756	12982
656	24797	12945
657	24827	12904
658	24856	12862
659	24892	12823
660	24937	12789
661	24983	12755
662	25032	12723
663	25069	12685
664	25112	12650
665	25150	12612
666	25188	12575
667	25225	12537
668	25256	12496
669	25296	12459
670	25339	12424
671	25372	12384
672	25404	12343
673	25441	12305
674	25476	12266
675	25512	12227
676	25547	12188
677	25580	12148
678	25620	12112
679	25656	12073
680	25685	12031
681	25716	11990
682	25748	11950
683	25788	11914
684	25824	11875
685	25859	11836
686	25899	11799
687	25932	11760
688	25971	11722
689	26006	11684
690	26042	11645
691	26073	11604
692	26109	11566
693	26144	11527
694	26176	11487
695	26209	11447
696	26244	11408
697	26279	11370
698	26312	11330
699	26349	11292
700	26384	11253
701	26414	11213
702	26452	11175
703	26490	11138
704	26529	11101
705	26566	11062
706	26597	11022
707	26633	10984
708	26672	10947
709	26716	10912
710	26749	10872
711	26783	10833
712	26820	10795
713	26858	10758
714	26894	10720
715	26936	10684
716	26974	10646
717	27012	10609
718	27047	10570
719	27076	10529
720	27115	10492
721	27156	10456
722	27192	10418
723	27230	10380
724	27271	10344
725	27312	10308
726	27355	10272
727	27395	10235
728	27445	10202
729	27493	10168
730	27544	10136
731	27584	10099
732	27628	10063
733	27674	10029
734	27709	9990
735	27752	9954
736	27794	9918
737	27828	9879
738	27865	9841
739	27900	9803
740	27936	9764
741	27970	9725
742	28004	9686
743	28039	9648
744	28075	9609
745	28108	9570
746	28139	9530
747	28169	9490
748	28207	9452
749	28244	9414
750	28281	9376
751	28312	9337
752	28344	9297
753	28377	9258
754	28415	9220
755	28448	9181
756	28490	9145
757	28525	9107
758	28559	9068
759	28596	9030
760	28629	8991
761	28667	8953
762	28703	8915
763	28734	8876
764	28774	8839
765	28812	8801
766	28848	8763
767	28885	8725
768	28926	8689
769	28960	8650
770	28992	8611
771	29029	8573
772	29061	8534
773	29095	8495
774	29136	8459
775	29171	8420
776	29204	8381
777	29237	8342
778	29269	8303
779	29307	8266
780	29343	8228
781	29380	8190
782	29413	8151
783	29449	8113
784	29488	8076
785	29520	8037
786	29572	8003
787	29613	7966
788	29660	7931
789	29699	7894
790	29752	7861
791	29793	7824
792	29860	7794
793	29900	7757
794	29931	7718
795	29970	7680
796	30010	7643
797	30050	7606
798	30083	7567
799	30114	7528
800	30154	7491
801	30189	7453
802	30225	7415
803	30267	7378
804	30304	7340
805	30348	7304
806	30384	7266
807	30421	7228
808	30461	7191
809	30502	7154
810	30542	7117
811	30579	7080
812	30617	7042
813	30652	7004
814	30690	6966
815	30724	6928
816	30761	6890
817	30794	6851
818	30831	6813
819	30867	6775
820	30903	6737
821	30941	6700
822	30979	6662
823	31010	6623
824	31049	6586
825	31084	6547
826	31115	6508
827	31153	6471
828	31186	6432
829	31219	6394
830	31254	6356
831	31287	6317
832	31320	6279
833	31357	6241
834	31395	6203
835	31460	6171
836	31548	6143
837	31606	6110
838	31645	6072
839	31682	6034
840	31722	5997
841	31757	5959
842	31794	5921
843	31826	5882
844	31869	5845
845	31914	5809
846	31955	5772
847	31991	5734
848	32037	5698
849	32075	5660
850	32109	5621
851	32147	5584
852	32179	5545
853	32210	5506
854	32240	5467
855	32277	5429
856	32313	5391
857	32352	5354
858	32391	5316
859	32427	5278
860	32461	5240
861	32496	5202
862	32531	5164
863	32569	5126
864	32612	5089
865	32651	5052
866	32690	5014
867	32738	4978
868	32781	4941
869	32819	4904
870	32861	4866
871	32904	4830
872	32959	4794
873	33000	4757
874	33038	4719
875	33078	4682
876	33116	4644
877	33151	4606
878	33189	4568
879	33225	4530
880	33267	4493
881	33316	4457
882	33372	4421
883	33413	4384
884	33451	4346
885	33492	4309
886	33529	4271
887	33567	4233
888	33611	4196
889	33652	4159
890	33690	4121
891	33726	4083
892	33765	4045
