iter	Passed	Remaining
144	3890	22941
145	3914	22895
146	3941	22869
147	3966	22832
148	3993	22809
149	4017	22767
150	4039	22711
151	4058	22640
152	4078	22577
153	4097	22511
154	4118	22451
155	4137	22383
156	4156	22318
157	4177	22260
158	4197	22200
159	4217	22140
160	4235	22070
161	4253	22000
162	4274	21948
163	4291	21874
164	4309	21810
165	4328	21748
166	4347	21685
167	4367	21628
168	4387	21573
169	4410	21534
170	4434	21498
171	4456	21453
172	4484	21437
173	4507	21398
174	4547	21437
175	4577	21429
176	4601	21397
177	4628	21372
178	4650	21328
179	4670	21278
180	4693	21235
181	4715	21192
182	4738	21155
183	4761	21115
184	4780	21059
185	4802	21017
186	4826	20981
187	4850	20949
188	4872	20910
189	4896	20875
190	4919	20836
191	4939	20787
192	4961	20744
193	4981	20698
194	5002	20651
195	5025	20614
196	5048	20579
197	5074	20552
198	5092	20497
199	5111	20444
200	5131	20399
201	5153	20357
202	5172	20309
203	5194	20267
204	5213	20217
205	5235	20178
206	5254	20127
207	5276	20090
208	5299	20058
209	5321	20017
210	5344	19983
211	5369	19957
212	5391	19920
213	5411	19874
214	5434	19842
215	5456	19804
216	5476	19761
217	5502	19738
218	5527	19710
219	5550	19677
220	5569	19632
221	5590	19590
222	5609	19544
223	5631	19509
224	5652	19468
225	5673	19430
226	5693	19388
227	5716	19355
228	5739	19323
229	5760	19284
230	5782	19250
231	5801	19205
232	5821	19164
233	5842	19126
234	5863	19088
235	5883	19046
236	5905	19012
237	5926	18974
238	5948	18941
239	5971	18908
240	5990	18865
241	6009	18822
242	6028	18780
243	6050	18747
244	6072	18712
245	6090	18669
246	6113	18636
247	6133	18598
248	6157	18571
249	6176	18528
250	6197	18494
251	6217	18455
252	6240	18424
253	6262	18392
254	6282	18355
255	6305	18324
256	6324	18284
257	6347	18254
258	6379	18251
259	6404	18229
260	6433	18215
261	6456	18187
262	6480	18161
263	6504	18132
264	6526	18102
265	6549	18073
266	6573	18047
267	6599	18026
268	6634	18028
269	6663	18017
270	6690	17998
271	6718	17982
272	6746	17966
273	6771	17942
274	6801	17931
275	6824	17900
276	6851	17883
277	6873	17852
278	6899	17830
279	6922	17800
280	6944	17769
281	6971	17750
282	7001	17739
283	7031	17727
284	7061	17716
285	7087	17693
286	7111	17666
287	7135	17640
288	7159	17614
289	7180	17579
290	7205	17554
291	7224	17517
292	7244	17481
293	7268	17453
294	7286	17413
295	7306	17376
296	7325	17338
297	7345	17304
298	7366	17270
299	7385	17232
300	7404	17195
301	7425	17162
302	7445	17126
303	7469	17100
304	7491	17069
305	7512	17037
306	7533	17005
307	7554	16972
308	7573	16937
309	7594	16903
310	7618	16878
311	7640	16847
312	7667	16829
313	7691	16804
314	7721	16790
315	7746	16768
316	7772	16745
317	7799	16726
318	7827	16709
319	7851	16685
320	7878	16664
321	7903	16641
322	7932	16625
323	7956	16599
324	7979	16572
325	8003	16547
326	8029	16525
327	8053	16498
328	8074	16467
329	8097	16441
330	8124	16420
331	8152	16403
332	8178	16382
333	8200	16352
334	8219	16316
335	8240	16284
336	8259	16249
337	8278	16214
338	8298	16180
339	8318	16147
340	8338	16115
341	8362	16088
342	8383	16057
343	8406	16030
344	8430	16005
345	8451	15974
346	8471	15941
347	8490	15908
348	8514	15881
349	8551	15881
350	8586	15875
351	8608	15846
352	8627	15813
353	8648	15782
354	8669	15751
355	8691	15722
356	8715	15696
357	8738	15669
358	8757	15636
359	8781	15612
360	8804	15584
361	8826	15555
362	8847	15526
363	8868	15496
364	8887	15462
365	8907	15430
366	8926	15396
367	8948	15367
368	8969	15338
369	8991	15309
370	9013	15281
371	9032	15247
372	9054	15220
373	9074	15188
374	9093	15155
375	9113	15125
376	9132	15091
377	9150	15057
378	9171	15028
379	9192	14997
380	9214	14970
381	9233	14938
382	9252	14904
383	9271	14873
384	9289	14839
385	9309	14807
386	9329	14777
387	9348	14745
388	9368	14715
389	9388	14684
390	9409	14654
391	9432	14630
392	9450	14597
393	9470	14565
394	9489	14534
395	9525	14528
396	9545	14498
397	9566	14469
398	9589	14444
399	9610	14416
400	9632	14389
401	9657	14365
402	9677	14336
